DD,SS,visual,Aud,win,raw,fisherave
,24,2,2,2,0.969739055,2.097018316
,24,2,2,3,0.96249813,2.032217933
,25,1,1,1,0.16767148,0.170396227
,25,1,1,2,0.1282222,0.128972812
,25,1,1,3,0.14136458,0.142330572
,25,1,0,1,0.26845637,0.277933767
,25,1,0,2,0.212432965,0.216785518
,25,1,0,3,0.338259425,0.361688838
,25,1,2,1,0.231911765,0.2386557
,25,1,2,2,0.20795779,0.211509494
,25,1,2,3,0.183449545,0.186013822
,25,2,1,1,0.173300855,0.175334246
,25,2,1,2,0.19574847,0.199923452
,25,2,1,3,0.43859414,0.557038374
,25,2,0,1,0.288996555,0.299314978
,25,2,0,2,0.642068445,0.880094919
,25,2,0,3,0.793885745,1.1257609
,25,2,2,1,0.18131177,0.183700138
,25,2,2,2,0.50653281,0.676621206
,25,2,2,3,0.654737765,1.126684356
,26,1,1,1,0.18809491,0.191176929
,26,1,1,2,0.153267355,0.154503718
,26,1,1,3,0.183012,0.18593931
,26,1,0,1,0.571754425,0.810041862
,26,1,0,2,0.323144345,0.342834688
,26,1,0,3,0.261112415,0.267602884
,26,1,2,1,0.22625189,0.230838225
,26,1,2,2,0.232866735,0.238351276
,26,1,2,3,0.2483914,0.253835137
,26,2,1,1,0.278422485,0.286619703
,26,2,1,2,0.306553455,0.328275636
,26,2,1,3,0.210711235,0.215562048
,26,2,0,1,0.45941611,0.521395374
,26,2,0,2,0.316836565,0.328162563
,26,2,0,3,0.31846437,0.33154598
,26,2,2,1,0.270406635,0.278947538
,26,2,2,2,0.226660395,0.231786036
,26,2,2,3,0.260952205,0.269561448
,27,1,1,1,0.19338702,0.195922358
,27,1,1,2,0.153827085,0.15505821
,27,1,1,3,0.21820334,0.224953025
,27,1,0,1,0.1882823,0.191419505
,27,1,0,2,0.12105608,0.121772455
,27,1,0,3,0.12805372,0.128769458
,27,1,2,1,0.316366235,0.347063514
,27,1,2,2,0.40656521,0.488846705
,27,1,2,3,0.403065125,0.437069089
,27,2,1,1,0.240023515,0.248666761
,27,2,1,2,0.163771045,0.165399889
,27,2,1,3,0.19436555,0.196916664
,27,2,0,1,0.20800963,0.211210768
,27,2,0,2,0.15989224,0.161317195
,27,2,0,3,0.152742535,0.153947493
,27,2,2,1,0.3012593,0.311064373
,27,2,2,2,0.39491061,0.427985882
,27,2,2,3,0.67718679,0.977109835
